cancerType	withPRDM9Size	withoutPRDM9Size	pvalueNumPRDM9MotifInPeaks	pvalueNumPRDM9BoundPeaks
ACCx	2	7	0.25	0.166666666666667
BLCA	7	2	0.444444444444444	0.25
BRCA	9	63	0.677144444885587	0.677144444885587
CHOL	1	1	1	1
COAD	4	33	0.0195624195624196	0.0288893935952759
ESCA	5	11	0.866300366300366	0.779532967032967
HNSC	3	6	0.357142857142857	0.357142857142857
KIRC	8	8	0.0651903651903652	0.0974358974358974
KIRP	12	20	0.477080482268614	0.477080482268614
LGGx	3	9	0.363636363636364	0.5
LIHC	8	9	0.0179761415055533	0.0179761415055533
LUAD	4	17	0.287218045112782	0.381453634085213
LUSC	9	7	0.964423076923077	0.972552447552448
MESO	1	5	1	1
PCPG	2	7	0.666666666666667	0.666666666666667
PRAD	3	23	0.44	0.270384615384615
SKCM	4	9	0.00979020979020979	0.0377622377622378
STAD	8	8	0.0103341103341103	0.0140637140637141
TGCT	8	1	0.111111111111111	0.111111111111111
THCA	2	12	0.978021978021978	0.956043956043956
UCEC	2	10	0.0606060606060606	0.0909090909090909
