ID	numPRDM9BoundPeaks
ACCx_TCGA-OR-A5J2-01A	35702
ACCx_TCGA-OR-A5J3-01A	37187
ACCx_TCGA-OR-A5J6-01A	34206
ACCx_TCGA-OR-A5J9-01A	34077
ACCx_TCGA-OR-A5JZ-01A	35684
ACCx_TCGA-OR-A5K8-01A	35530
ACCx_TCGA-OR-A5KX-01A	33436
ACCx_TCGA-PA-A5YG-01A	34593
ACCx_TCGA-PK-A5H8-01A	34014
BLCA_TCGA-BL-A13J-01A	41724
BLCA_TCGA-BL-A3JM-01A	36968
BLCA_TCGA-CF-A1HR-01A	40839
BLCA_TCGA-CF-A3MI-01A	41281
BLCA_TCGA-CU-A3YL-01A	41433
BLCA_TCGA-DK-A1AD-01A	40056
BLCA_TCGA-FD-A3SR-01A	39134
BLCA_TCGA-GD-A3OQ-01A	38609
BLCA_TCGA-GV-A3JW-01A	41460
BLCA_TCGA-H4-A2HO-01C	39100
BRCA_TCGA-3C-AALJ-01A	40100
BRCA_TCGA-4H-AAAK-01A	61142
BRCA_TCGA-A2-A0CX-01A	56451
BRCA_TCGA-A2-A0ES-01A	57735
BRCA_TCGA-A2-A0ET-01A	40377
BRCA_TCGA-A2-A0EV-01A	44011
BRCA_TCGA-A2-A0EW-01A	60890
BRCA_TCGA-A2-A0EX-01A	56345
BRCA_TCGA-A2-A0EY-01A	55867
BRCA_TCGA-A2-A0SV-01A	60455
BRCA_TCGA-A2-A0SW-01A	51120
BRCA_TCGA-A2-A0SX-01A	54464
BRCA_TCGA-A2-A0T4-01A	59857
BRCA_TCGA-A2-A0T5-01A	58239
BRCA_TCGA-A2-A0T6-01A	38002
BRCA_TCGA-A2-A0T7-01A	57717
BRCA_TCGA-A2-A0YC-01A	53509
BRCA_TCGA-A2-A0YD-01A	52992
BRCA_TCGA-A2-A0YF-01A	55623
BRCA_TCGA-A2-A0YG-01A	57664
BRCA_TCGA-A2-A0YH-01A	58664
BRCA_TCGA-A2-A0YJ-01A	57129
BRCA_TCGA-A2-A0YK-01A	49583
BRCA_TCGA-A2-A0YL-01A	56774
BRCA_TCGA-A2-A0YT-01A	55744
BRCA_TCGA-A2-A4RX-01A	57078
BRCA_TCGA-A7-A0CH-01A	57226
BRCA_TCGA-A7-A0D9-01A	56193
BRCA_TCGA-A7-A13E-01A	57608
BRCA_TCGA-A7-A13F-01A	50240
BRCA_TCGA-A8-A06N-01A	51010
BRCA_TCGA-A8-A08J-01A	53601
BRCA_TCGA-A8-A094-01A	58172
BRCA_TCGA-AO-A03L-01A	55316
BRCA_TCGA-AO-A03N-01B	54756
BRCA_TCGA-AO-A0J5-01A	51752
BRCA_TCGA-AO-A0J8-01A	55050
BRCA_TCGA-AO-A0JB-01A	57393
BRCA_TCGA-AO-A0JG-01A	55912
BRCA_TCGA-AO-A0JM-01A	55706
BRCA_TCGA-AO-A124-01A	52848
BRCA_TCGA-AO-A12D-01A	56634
BRCA_TCGA-AO-A12F-01A	53450
BRCA_TCGA-AQ-A04L-01A	54771
BRCA_TCGA-AR-A0TP-01A	44516
BRCA_TCGA-AR-A0TV-01A	49680
BRCA_TCGA-AR-A0U0-01A	55142
BRCA_TCGA-AR-A0U4-01A	56339
BRCA_TCGA-BH-A0B1-01A	54698
BRCA_TCGA-BH-A0B5-01A	58278
BRCA_TCGA-BH-A0BA-01A	53745
BRCA_TCGA-BH-A0BZ-01A	57548
BRCA_TCGA-BH-A0C1-01A	46715
BRCA_TCGA-BH-A0DL-01A	58318
BRCA_TCGA-BH-A0DP-01A	59818
BRCA_TCGA-BH-A0DV-01A	59282
BRCA_TCGA-BH-A0E0-01A	56794
BRCA_TCGA-BH-A0EE-01A	56388
BRCA_TCGA-BH-A0HP-01A	58189
BRCA_TCGA-BH-A1EV-01A	52367
BRCA_TCGA-C8-A12K-01A	52070
BRCA_TCGA-C8-A12M-01A	48309
BRCA_TCGA-C8-A12O-01A	58330
BRCA_TCGA-C8-A12Q-01A	53044
BRCA_TCGA-C8-A12T-01A	55509
BRCA_TCGA-C8-A12U-01A	49893
BRCA_TCGA-C8-A12V-01A	51295
BRCA_TCGA-C8-A12Y-01A	59020
BRCA_TCGA-C8-A130-01A	58665
BRCA_TCGA-C8-A133-01A	48664
BRCA_TCGA-C8-A137-01A	60018
BRCA_TCGA-C8-A8HR-01A	57517
BRCA_TCGA-D8-A13Z-01A	56145
BRCA_TCGA-S3-AA0Z-01A	56310
CESC_TCGA-EA-A3HS-01A	29601
CESC_TCGA-EA-A3HT-01A	29351
CHOL_TCGA-3X-AAVA-01A	31230
CHOL_TCGA-W6-AA0T-01A	32383
CHOL_TCGA-W7-A93N-01A	32300
CHOL_TCGA-ZH-A8Y5-01A	33000
CHOL_TCGA-ZH-A8Y7-01A	32343
COAD_TCGA-3L-AA1B-01A	47262
COAD_TCGA-4N-A93T-01A	39719
